NO,게임명,제목/내용,이슈 판단,검수 - 피드백,label,text
1,FM,"제목: 결제실패
내용: 갤럭시24울트라 사용중인데 상품결제하면 결제실패라고 뜨고 실제 결제는 이루어져서 상품을 받으려면 계속 재시작해야 합니다. ",O,"결제 실패 오류에 해당하는 문의로, 이슈 판단 잘해주셨습니다.
 1건 발생 시 텔레그램 이슈방 전달
3건 이상 발생 시 유선 전달 입니다.",issue,제목: 결제실패 내용: 갤럭시24울트라 사용중인데 상품결제하면 결제실패라고 뜨고 실제 결제는 이루어져서 상품을 받으려면 계속 재시작해야 합니다. 
2,FM,"제목: 백뷰 노출 설정 꺼꾸로 되있는 거 아님?
내용: '네' 하면 안나오고

'아니오' 하면 나오는데요??",O,"설정이 잘못된 현상으로 콘텐츠 진행 불가에 해당합니다.
이슈 판단 잘해주셨습니다.
 1건 발생 시 텔레그램 이슈방 전달
3건 이상 발생 시 유선 전달 입니다. ",issue,제목: 백뷰 노출 설정 꺼꾸로 되있는 거 아님? 내용: '네' 하면 안나오고 '아니오' 하면 나오는데요??
3,FM,"제목: 5-5 탐색 어떻게 깨나요??
내용: 5-5 탐색에서 모든 상호작용되는 건 다 눌러봤는데 진행이 안되네요ㅠㅠ

스토리 넘어가지를 못하고 있어요

도와주세요오",O,"콘텐츠 불가 오류가 발생한 사항으로,
이슈 판단 잘 해주셨습니다.
1건 발생 시 즉시 전달
3건 이상 시 유선 전달 해주시면 됩니다.",issue,제목: 5-5 탐색 어떻게 깨나요?? 내용: 5-5 탐색에서 모든 상호작용되는 건 다 눌러봤는데 진행이 안되네요ㅠㅠ 스토리 넘어가지를 못하고 있어요 도와주세요오
4,FM,"제목: 5-5 스테이지가 버그인가요 안깨지네요
내용: ㅠㅜ 도와주세요",O,"콘텐츠 불가 오류가 발생한 사항으로,
이슈 판단 잘 해주셨습니다.
1건 발생 시 즉시 전달
3건 이상 시 유선 전달 해주시면 됩니다.",issue,제목: 5-5 스테이지가 버그인가요 안깨지네요 내용: ㅠㅜ 도와주세요
5,FM,"제목: 어제부터 왜 게스트가 됐다 안됐다 하나요..ㅜㅜ
내용: 아니 왜 어제부터 게스트가 됐다 안됐다함...서버 관리 좀 해주세요..",O,"접속 불가 현상에 해당하는 문의로, 이슈 판단 잘해주셨습니다.
 1건 발생 시 텔레그램 이슈방 전달 및 접속 테스트
3건 이상 발생 시 유선 전달 입니다.",issue,제목: 어제부터 왜 게스트가 됐다 안됐다 하나요..ㅜㅜ 내용: 아니 왜 어제부터 게스트가 됐다 안됐다함...서버 관리 좀 해주세요..
6,FM,"제목: 현재 게임도 설치도 안되고 게스트 로그인도 여러번 시도해야지 로그인 되고 난리네요
내용: 고쳐라!! 겜을 냈으면 고쳐라! 점검해라! 사료줘라!
에잉.. 낼 오픈하는 각성소녀나 하러 가야겠네..",O,"접속 불가 현상에 해당하는 문의로, 이슈 판단 잘해주셨습니다.
 1건 발생 시 텔레그램 이슈방 전달 및 접속 테스트
3건 이상 발생 시 유선 전달 입니다.",issue,제목: 현재 게임도 설치도 안되고 게스트 로그인도 여러번 시도해야지 로그인 되고 난리네요 내용: 고쳐라!! 겜을 냈으면 고쳐라! 점검해라! 사료줘라! 에잉.. 낼 오픈하는 각성소녀나 하러 가야겠네..
7,FM,"제목: 이게 확실하다
내용: 꼬봉남겨놓고 회식하다가 서버터지니 술먹다말고 회사로 복귀중

제목: 그니까 내가 머라그랬냐 현질하지 마라고했자나
내용: 말을 해줘도 안듣고 현질한사람 없지???
운영 이따구면 문닫는거 얼마안걸린다

제목: 설마
내용: 진심 지들 퇴근시간 맞춰서 연장마무리하고 바로 가려고
2시에서 6시로 한거야???
근데 능력딸리는 머저리들만 있어서 마무리 못하고
무기한 연장하는거고??
이래서 좃소기업은 안되는거야

제목: 운영이 영 이상하네
내용: 신경을 하나도 안쓰는 느낌

제목: 진심 궁금해서 그러는데 점검시간을 왜 2시로 잡은거임?
내용: 심지어 중섭은 새벽에 한다는데 왜죠? 왜? 왜 2시에 하는거죠? 왜지? 
자신있어서 퇴근시간에 딱 맞게 점검시간 잡은 거 아니였나요? 왜 연장이지? 왜죠?

제목: 솔직히 너무한거 같아요
내용: 연장점검이 될 정도면 무리해서 업데이트를 빠르게 진행하는거 같은데
점검완료 시간도 명확하지 않고 사과공지도 없고 
첫 점검부터 이러시면 신뢰하기가 어려워요.

제목: 영자님들아
내용: 진지하게 점검시간 고려해보셈 2시부터 점검한다는 거 보고 특이해도 그렇다니까 그냥 기다렸는데 
아무리 생각해봐도 오전에 하는게 낫지않을까 라는 생각을 함 지금 44분이나 미뤄지고 있는데 다음 업뎃에서도 
점검시간 2시부터 6시 ㅇㅈㄹ하면 진짜 정 떨어질 것 같아요",O,"불만 관련 동향에 해당하는 게시글로, 이슈 판단 잘해주셨습니다.
5건 이상 발생 시 텔레그램 이슈방에 전달해주시면 됩니다.",issue,제목: 이게 확실하다 내용: 꼬봉남겨놓고 회식하다가 서버터지니 술먹다말고 회사로 복귀중 제목: 그니까 내가 머라그랬냐 현질하지 마라고했자나 내용: 말을 해줘도 안듣고 현질한사람 없지??? 운영 이따구면 문닫는거 얼마안걸린다 제목: 설마 내용: 진심 지들 퇴근시간 맞춰서 연장마무리하고 바로 가려고 2시에서 6시로 한거야??? 근데 능력딸리는 머저리들만 있어서 마무리 못하고 무기한 연장하는거고?? 이래서 좃소기업은 안되는거야 제목: 운영이 영 이상하네 내용: 신경을 하나도 안쓰는 느낌 제목: 진심 궁금해서 그러는데 점검시간을 왜 2시로 잡은거임? 내용: 심지어 중섭은 새벽에 한다는데 왜죠? 왜? 왜 2시에 하는거죠? 왜지? 자신있어서 퇴근시간에 딱 맞게 점검시간 잡은 거 아니였나요? 왜 연장이지? 왜죠? 제목: 솔직히 너무한거 같아요 내용: 연장점검이 될 정도면 무리해서 업데이트를 빠르게 진행하는거 같은데 점검완료 시간도 명확하지 않고 사과공지도 없고 첫 점검부터 이러시면 신뢰하기가 어려워요. 제목: 영자님들아 내용: 진지하게 점검시간 고려해보셈 2시부터 점검한다는 거 보고 특이해도 그렇다니까 그냥 기다렸는데 아무리 생각해봐도 오전에 하는게 낫지않을까 라는 생각을 함 지금 44분이나 미뤄지고 있는데 다음 업뎃에서도 점검시간 2시부터 6시 ㅇㅈㄹ하면 진짜 정 떨어질 것 같아요
8,FM,"제목: ㅋㅋㅋㅋㅋ
내용: 이 씨발새끼들도 좆마블 따라하는거냐? 여기 회사 새끼들도 죄다 안경쓴 여드름 돼지새끼들만 있는거냐? 
능력도 안 되면서 뭘 씨발 점검시간을 이따위로 하는거냐?",O,"욕설이 포함된 불건전 게시글로, 이슈 판단 잘해주셨습니다.
게시글 삭제 진행해주시면 됩니다.",issue,제목: ㅋㅋㅋㅋㅋ 내용: 이 씨발새끼들도 좆마블 따라하는거냐? 여기 회사 새끼들도 죄다 안경쓴 여드름 돼지새끼들만 있는거냐? 능력도 안 되면서 뭘 씨발 점검시간을 이따위로 하는거냐?
9,FM,"제목: 이 집 장사 존나 못하네 ㅋㅋㅋㅋ
내용: 아니 일단 공지라도 좀 하라고 ㅋㅋㅋ 
아님 배짱이 존나 대단한건가?",O,"비속어가 포함된 게시글은 맞지만, 삭제 할 정도의 
비속어가 아니기에 삭제할 필요없습니다.

또한, 해당 게시글은 운영 실수로 인한 불만 게시글로 판단되어
먼저 텔레그램 이슈방에 물어보는 것이 좋습니다.",issue,제목: 이 집 장사 존나 못하네 ㅋㅋㅋㅋ 내용: 아니 일단 공지라도 좀 하라고 ㅋㅋㅋ 아님 배짱이 존나 대단한건가?
10,FM,"제목: 야
내용: 야이 씨발것들아 뭘 제대로 공지를 좀 쳐 하면서 연장점검을 쳐하던지 말던지해 씨발 존나 무책임하게 
저딴식으로 고쳐놓고 유저들 하염없이 기다리게만 할래? 니들이 인간이라면 최소한의 매너는 갖고 운영을 쳐 해 씨발것들아",O,"욕설이 포함된 불건전 게시글로, 이슈 판단 잘해주셨습니다.
게시글 삭제 진행해주시면 됩니다.",issue,제목: 야 내용: 야이 씨발것들아 뭘 제대로 공지를 좀 쳐 하면서 연장점검을 쳐하던지 말던지해 씨발 존나 무책임하게 저딴식으로 고쳐놓고 유저들 하염없이 기다리게만 할래? 니들이 인간이라면 최소한의 매너는 갖고 운영을 쳐 해 씨발것들아
11,FM,"제목: M샵 사이트 들어가봤는데 이거 뭐냐
내용: 원래 위에 사진처럼 유저 ID랑 구글로그인 떠야하는데 페북밖에 없음

 ",O,"콘텐츠 불가 오류가 발생한 사항으로,
이슈 판단 잘 해주셨습니다.
1건 발생 시 즉시 전달
3건 이상 시 유선 전달 해주시면 됩니다.",issue,제목: M샵 사이트 들어가봤는데 이거 뭐냐 내용: 원래 위에 사진처럼 유저 ID랑 구글로그인 떠야하는데 페북밖에 없음 
12,FM,"제목: 그냥섭종해라 환불이나받게
내용: 아진짜 기다리기 힘드네

제목: 깔끔하게 전액 환불하고 헤어지자
내용: 첫 점검을 이딴식으로 할거면 운영 말 다했다.
걍 여기서 끝내자.

제목: 이러면 나가린데 환불 되나
내용: ㅈ 같네
뭔 언제 된다고 공지라도 올리던가
주인 나간 ㄱㅅㄲ 마냥 하염없이 기다려야 됨?",O,"불만 관련 동향에 해당하는 게시글로, 이슈 판단 잘해주셨습니다.
5건 이상 발생 시 텔레그램 이슈방에 전달해주시면 됩니다.",issue,제목: 그냥섭종해라 환불이나받게 내용: 아진짜 기다리기 힘드네 제목: 깔끔하게 전액 환불하고 헤어지자 내용: 첫 점검을 이딴식으로 할거면 운영 말 다했다. 걍 여기서 끝내자. 제목: 이러면 나가린데 환불 되나 내용: ㅈ 같네 뭔 언제 된다고 공지라도 올리던가 주인 나간 ㄱㅅㄲ 마냥 하염없이 기다려야 됨?
13,FM,"제목: 하나밖에 없는 공식채널에 비난이 폭주인데 답이 없는거보면
내용: 담배 존나 빨고 지금 집가고 있는거 맞는거 같다.

환불 준비해라.",O,"비속어가 포함된 게시글은 맞지만, 삭제 할 정도의 
비속어가 아니기에 삭제할 필요없습니다.

또한, 해당 게시글은 운영 실수로 인한 불만 게시글로 판단되어
먼저 텔레그램 이슈방에 물어보는 것이 좋습니다.",issue,제목: 하나밖에 없는 공식채널에 비난이 폭주인데 답이 없는거보면 내용: 담배 존나 빨고 지금 집가고 있는거 맞는거 같다. 환불 준비해라.
14,FM,"제목: 점검보상 장난하나
내용: 이정도면 한국 유저 그냥 비융신으로 보는거지ㅋㅋㅋㅋ

제목: 지금 장난하냐?
내용: 아니 기대하는겜  2시간 넘게 기다리게 만들고 보상은 고작 이거냐?

제목: 보상 기가막히네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
내용: 쉴드충 있는거 아니지????

제목: 2시간 연장 보상
내용: 어느정도가 ㄱㅊ하다 생각?

제목: 보상이 저게 뭐임?
내용: 머리가 정상이 아닌가?

제목: ㄹㅇ 쓰래기겜이네
내용: 걍 안할란다",O,"불만 관련 동향에 해당하는 게시글로, 이슈 판단 잘해주셨습니다.
5건 이상 발생 시 텔레그램 이슈방에 전달해주시면 됩니다.",issue,제목: 점검보상 장난하나 내용: 이정도면 한국 유저 그냥 비융신으로 보는거지ㅋㅋㅋㅋ 제목: 지금 장난하냐? 내용: 아니 기대하는겜 2시간 넘게 기다리게 만들고 보상은 고작 이거냐? 제목: 보상 기가막히네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 내용: 쉴드충 있는거 아니지???? 제목: 2시간 연장 보상 내용: 어느정도가 ㄱㅊ하다 생각? 제목: 보상이 저게 뭐임? 내용: 머리가 정상이 아닌가? 제목: ㄹㅇ 쓰래기겜이네 내용: 걍 안할란다
15,FM,"제목: 이딴겜에 현질하는 흑우없재?
내용: 본섭 대비 차별

픽업 일정만 당기고 재화는 오히려 줄여서

응 니네 지갑으로 뽑아 ㅋㅋㅋ
퀄리티는 소망보다 못한데 소망이랑 똑같은짓 ㅋㅋ
소망^^나락간거 안보이냐

지금 분위기 삼엄한데도 이러는거보니
순진한 애들한테 바짝땡기고 먹튀하려나보다
난 무과라 대충놀다 버려야지 퉤퉤",O,"타 게임 언급 게시글은 맞으나 
타 게임에 대한 내용이 작성된 게시글이 아닌
타 게임이 어떠한 이유로 불만동향이 생겼고,
그것과 같은 전철을 밟고 있다는 
불만 게시글로 판단될 수 있어 
삭제 하지 말고 텔레그렘 이슈방에 물어보는것이 좋습니다.",issue,제목: 이딴겜에 현질하는 흑우없재? 내용: 본섭 대비 차별 픽업 일정만 당기고 재화는 오히려 줄여서 응 니네 지갑으로 뽑아 ㅋㅋㅋ 퀄리티는 소망보다 못한데 소망이랑 똑같은짓 ㅋㅋ 소망^^나락간거 안보이냐 지금 분위기 삼엄한데도 이러는거보니 순진한 애들한테 바짝땡기고 먹튀하려나보다 난 무과라 대충놀다 버려야지 퉤퉤
16,FM,"제목: 가레나 이 ㅁㅊ놈들 객실보상까지 건드렸네
내용: 24년 10월 중섭 오픈 초기 동영상인데 저긴 200개씩 주면서 한섭은 100개로 반토막 내버리고

진짜 뭔 정신으로 하는거임???? 모를 줄 알았냐????


















제목: 헬적화 하고서 안 걸릴 줄 알았어요?
내용: 중섭 오픈 일주일 뒤 영상인데 노드별 보상이 200이죠?

​왜 한섭은 100입니까?

그리고 가구(이벤트 재화) 획득량 올렸다고요?

​그럼 이벤트 상점 구매비용은 왜 올리셨어요?

​눈가리고 아웅하시는 건가요?

그따위로 하다가 과금러들 감정상해서 떠나면 참 좋겠다 그죠?

​

어이가 없어서 해명 및 복구할 때 까지 지갑 닫으려고요.

​

헬적화하다가 걸려서 망한 겜이 몇인데 잘 놀고 계시네요.",O,"불만 관련 동향에 해당하는 게시글로, 이슈 판단 잘해주셨습니다.
5건 이상 발생 시 텔레그램 이슈방에 전달해주시면 됩니다.",issue,제목: 가레나 이 ㅁㅊ놈들 객실보상까지 건드렸네 내용: 24년 10월 중섭 오픈 초기 동영상인데 저긴 200개씩 주면서 한섭은 100개로 반토막 내버리고 진짜 뭔 정신으로 하는거임???? 모를 줄 알았냐???? 제목: 헬적화 하고서 안 걸릴 줄 알았어요? 내용: 중섭 오픈 일주일 뒤 영상인데 노드별 보상이 200이죠? ​왜 한섭은 100입니까? 그리고 가구(이벤트 재화) 획득량 올렸다고요? ​그럼 이벤트 상점 구매비용은 왜 올리셨어요? ​눈가리고 아웅하시는 건가요? 그따위로 하다가 과금러들 감정상해서 떠나면 참 좋겠다 그죠? ​ 어이가 없어서 해명 및 복구할 때 까지 지갑 닫으려고요. ​ 헬적화하다가 걸려서 망한 겜이 몇인데 잘 놀고 계시네요.
17,FM,"제목: ●▅▇█▇▆▅▄▇
내용: 우리 이제 과금 안해
서비스 종료하던지 아니면 정상화 시키던지
알아서 하쇼

제목: 시작부터 운영 이런식이면 다 도망가요
내용: 어차피 이게임 하는 사람들 다 중국 서브컬쳐 하던 사람들이라 그쪽 퍼블리셔들 갑질과 헬적화에 이골들이나서
시작부터 이렇게 노골적으로 적대운영하면 요즘엔 기대도 안하고 바로 다 도망쳐요
아직 기회있을때 운영 똑바로 정상화하세요.

제목: 운영 쓰레기
내용: 운영 쓰레기같긴한데
자꾸 섭종할거다
과금 하지 말아라
다른 게임 할거다 이런말은 하지 마세요

섭종이 좋은것도 아니고

과금은 지 마음이고

다른 게임 할거면 조용히 하고요

제목: 가레기야 이게 맞냐?
내용: 진짜 초반에 쫙 빨고 런할려고 운영하는거 아니지? 

우리가 진짜 호구로 보이는구나 

제목: 이렇게 운영하면 돈을 더 못번다는걸 모르는건가
내용: 진짜 이해가 안가네

제목: 중겜 운영은 원래 다 이런가요
내용: 원래 신캐 나오는게 이렇게 빠른가요? 분명 겜 오픈한지도 얼마 안된것같은데... 간만에 좋은게임 찾았다 했는데 어렵네요..

제목: ●▅▇█▇▆▅▄▇
내용: 가레나야 잘생각해라 이게 맞니?

제목:●▅▇█▇▆▅▄▇
내용: 운영 똑바로 좀 해",O,"불만 관련 동향에 해당하는 게시글로, 이슈 판단 잘해주셨습니다.
5건 이상 발생 시 텔레그램 이슈방에 전달해주시면 됩니다.",issue,제목: ●▅▇█▇▆▅▄▇ 내용: 우리 이제 과금 안해 서비스 종료하던지 아니면 정상화 시키던지 알아서 하쇼 제목: 시작부터 운영 이런식이면 다 도망가요 내용: 어차피 이게임 하는 사람들 다 중국 서브컬쳐 하던 사람들이라 그쪽 퍼블리셔들 갑질과 헬적화에 이골들이나서 시작부터 이렇게 노골적으로 적대운영하면 요즘엔 기대도 안하고 바로 다 도망쳐요 아직 기회있을때 운영 똑바로 정상화하세요. 제목: 운영 쓰레기 내용: 운영 쓰레기같긴한데 자꾸 섭종할거다 과금 하지 말아라 다른 게임 할거다 이런말은 하지 마세요 섭종이 좋은것도 아니고 과금은 지 마음이고 다른 게임 할거면 조용히 하고요 제목: 가레기야 이게 맞냐? 내용: 진짜 초반에 쫙 빨고 런할려고 운영하는거 아니지? 우리가 진짜 호구로 보이는구나 제목: 이렇게 운영하면 돈을 더 못번다는걸 모르는건가 내용: 진짜 이해가 안가네 제목: 중겜 운영은 원래 다 이런가요 내용: 원래 신캐 나오는게 이렇게 빠른가요? 분명 겜 오픈한지도 얼마 안된것같은데... 간만에 좋은게임 찾았다 했는데 어렵네요.. 제목: ●▅▇█▇▆▅▄▇ 내용: 가레나야 잘생각해라 이게 맞니? 제목:●▅▇█▇▆▅▄▇ 내용: 운영 똑바로 좀 해
18,FM,"제목: 차별운영???
내용: 니미 씨발 한섭 차별운영하는거냐? 개좆같네 씨발 안그래도 헬조선이라 좆같은데 니들같은 
듣보잡것들이 이딴식으로 뒤통수 후려치는 운영을 쳐하는거냐? 좆이나 빨아라 씨발것들아",O,"욕설이 포함된 불건전 게시글로, 이슈 판단 잘해주셨습니다.
게시글 삭제 진행해주시면 됩니다.",issue,제목: 차별운영??? 내용: 니미 씨발 한섭 차별운영하는거냐? 개좆같네 씨발 안그래도 헬조선이라 좆같은데 니들같은 듣보잡것들이 이딴식으로 뒤통수 후려치는 운영을 쳐하는거냐? 좆이나 빨아라 씨발것들아
19,FM,"제목: 리세
내용: 나만 게스트 로그인 막힘?

제목: 계정생성 막힌 애들 주목! (수정)
내용: 방금 어플지우고 다시 설치해서 진행하는데

두번째 게스트로그인에서 막힘

​

얘네 그냥 걸러야할듯

​

ㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡ

예상되는 원인은 둘 중 하나다

​

한 UID당 계정생성 100회 제한

8/14 패치이후 계정생성제한 추가

​

튜토리얼 스킵기능을 넣어줘도 모자를 판에

2번을 적용했다? 그러면 딴겜하러 감",O,"접속 불가 현상에 해당하는 문의로, 이슈 판단 잘해주셨습니다.
 1건 발생 시 텔레그램 이슈방 전달 및 접속 테스트
3건 이상 발생 시 유선 전달 입니다.",issue,제목: 리세 내용: 나만 게스트 로그인 막힘? 제목: 계정생성 막힌 애들 주목! (수정) 내용: 방금 어플지우고 다시 설치해서 진행하는데 두번째 게스트로그인에서 막힘 ​ 얘네 그냥 걸러야할듯 ​ ㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡ 예상되는 원인은 둘 중 하나다 ​ 한 UID당 계정생성 100회 제한 8/14 패치이후 계정생성제한 추가 ​ 튜토리얼 스킵기능을 넣어줘도 모자를 판에 2번을 적용했다? 그러면 딴겜하러 감
20,FM,"제목: 신월동행 = 밀리언아서 링
내용: 섭종엔딩.",X,"타 게임이 이와 같은 운영방식에 따른 결과로 
서버 종료가 되었던 선례가 있어
이렇게 가면 서버 종료를 할 것 같다는 불만 게시글로 
타 게임에 대한 내용이 작성된 게시글이 아닌 단순 언급이기에 
삭제하실 필요 없습니다.",non_issue,제목: 신월동행 = 밀리언아서 링 내용: 섭종엔딩.
21,FM,"제목: 이건 뭔 버그임
내용: 1돌 용정이 왜 확산 하나만 터지냐

",O,"콘텐츠 진행 오류에 해당하는 문의로, 이슈 판단 잘해주셨습니다.
 1건 발생 시 텔레그램 이슈방 전달,
3건 이상 발생 시 유선 전달 입니다.",issue,제목: 이건 뭔 버그임 내용: 1돌 용정이 왜 확산 하나만 터지냐 
22,FM,"제목: 주말에도 일하실거면
내용: 제 월간동행 결제오류나서 미지급 된거나 좀 빨리 처리해 주세요..

주말이라 그런가보다 했는데 점검하는거 보니 일을 하긴한다는건데

어제 결제했는데 아직도 못받고 있는데 이게 맞는건지...",O,"상품 결제 오류에 해당하는 문의로
이슈판단 잘 해주셨습니다
1건 발생 시 즉시 전달,
3건 이상 발생 시 유선 전달 해주시면 됩니다.",issue,제목: 주말에도 일하실거면 내용: 제 월간동행 결제오류나서 미지급 된거나 좀 빨리 처리해 주세요.. 주말이라 그런가보다 했는데 점검하는거 보니 일을 하긴한다는건데 어제 결제했는데 아직도 못받고 있는데 이게 맞는건지...
23,FM,"제목: 연장ㅋㅋㅋㅋㅋㅋ
내용: 3분전에 연장 2시간 때리는게 맞냐??
아무리 운영을 못 해도 뇌가 빠졌나 지금 민심에 ㅋㅋㅋ
보상 제대로 안 주면 인원 다 빠진다
무과로 징징거리는 거 아니고 과금 할 만큼 했다 영자야~

제목: 얘네는 도대체 뭐하는 회사임?
내용: 첫 점검을 주간에 잡은것고 모자라 갑자기 임시점검 쳐하는데 2시간 연장까지한다고? 정신머리가있는건가 ㅋㅋㅋㅋ
이러고 점검 보상은 기존에 100 재화 추가 해서 줄게 뻔하다 뻔해 이샠기들 그냥

제목: 임시점검도 제대로 못끝내고 연장하네
내용: 대단하다

제목: 팩트는 자회도 뽑고 할거없어서 딱히 화가 안 난다는거임
내용: 연장은 화나는거랑 별개로 좀 맞자

제목: 연장이 뭐 당연한건가
내용: 점검 할 때마다 연장이고

제목: 점검 관련 한마디만 하고가겠습니다.
내용: 엊그제야 처음이니까 그런가보다 하는데 오늘은 또 무엇때문에 연장입니까? 

점검 목록은 서버 안정화 딱 이글자만 들어가있고 점검은 다들 게임 시간 충분할 주말시간에 ㅠㅠ 

참 너무 하시는거 아닌가요? 

제목: 뭐하는거임?
내용: 지금 이걸 공지라고 쳐올린건가

앞뒤 다짤라먹고 ""아 문제 있어서 2시간 정도 늦을것 같아 2시간만 기다려라!""는 

친구끼리도 선넘는건데 

가레나나 파이어웍스랑 우리랑 친구임?

서비스 제공자와 서비스 이용자관계인데 

​

정확하게 

누가, 언제, 어디서, 어떻게, 무엇을, 왜?

6하원칙에 의거해서 

서비스를 어떠한 이유로 못하고있고 문제가있다면 무엇때문에 늦어지고 

지금 대략적으로 이러이렇게 수정하고있으니 기다려 달라가 선행되어야

​

유저도 배려를 할 수가 있는거지 

​

일방적인 통보를 해놓고 유져들에게 왜 일방적 배려를 바라는거임?

​

저번 한번은 그렇다치고 넘어갔지만

황금같은 주말에 이게 뭐하는 짓인지 

유저랑 기싸움 하자는거임?

제목: 점검시갘 2시간연장 장난하냐
내용: .",O,"연장 점검에 관한 불만 동향으로 이슈판단 잘 해주셨습니다.
